date,Immigration,Emigration,Net migration
Jun-21,176000,-262000,-87000
Sep-21,170000,-283000,-113000
Dec-21,164000,-233000,-69000
Mar-22,167000,-254000,-87000
Jun-22,172000,-240000,-67000
Sep-22,169000,-244000,-75000
Dec-22,166000,-247000,-81000
Mar-23,166000,-249000,-83000
Jun-23,161000,-252000,-91000
Sep-23,156000,-253000,-97000
Dec-23,150000,-255000,-104000
Mar-24,146000,-257000,-112000
Jun-24,142000,-257000,-115000
Sep-24,143000,-259000,-116000
Dec-24,143000,-257000,-114000
Mar-25,143000,-255000,-112000
Jun-25,143000,-252000,-109000
